Regime,N days,Mean VRP (var),Mean VRP (vol pts),% positive
Pre-2008,986,0.007827256971228316,3.1359136699746197,87.32251521298174
GFC,397,-0.010886872726362223,0.42869058842635516,68.26196473551637
2009-2019,2644,0.010870597730596626,3.9071820845031966,85.02269288956127
Covid,505,0.0012633195412762445,4.50790453234053,85.94059405940594
Post-2022,1107,0.009799541068437171,3.4357901194658593,83.73983739837398
